selected_hand,selected_finger,selected_site,all_dome_levels_mm,timestamp_unix,phase,phase_run,phase_trial,schedule_name,schedule_seed,orientation_presented_code,orientation_presented,size_mm,answer,answer_code,correct,level_index_before,level_index_after,direction,reversal,reversal_level_mm,n_reversals,two_down_correct_streak_after,easy_correct_streak_after,errors_at_level_after,total_errors_easy,floor_correct_streak,ceil_incorrect_streak,next_size_mm,threshold_live_mm,threshold_live_nearest_dome_mm,result_after_trial
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141077.3486779,practice,1,1,練習ランダム,1430527270.0,1,縦,8.0,縦,1,True,0,0,stay,,,,,1.0,0.0,0.0,,,8.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141084.0382392,practice,1,2,練習ランダム,1430527270.0,2,横,8.0,横,2,True,0,0,stay,,,,,2.0,0.0,0.0,,,8.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141090.740077,practice,1,3,練習ランダム,1430527270.0,1,縦,8.0,縦,1,True,0,0,stay,,,,,3.0,0.0,0.0,,,8.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141095.3743083,practice,1,4,練習ランダム,1430527270.0,1,縦,8.0,縦,1,True,0,0,stay,,,,,4.0,0.0,0.0,,,8.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141100.9231346,practice,1,5,練習ランダム,1430527270.0,2,横,8.0,横,2,True,0,0,stay,,,,,5.0,0.0,0.0,,,8.0,,,PASS（5問連続正答）
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141111.8088307,test,1,1,系列1,,2,横,8.0,横,2,True,14,14,,False,,0.0,1.0,,,,0.0,0.0,8.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141117.2025702,test,1,2,系列1,,1,縦,8.0,縦,1,True,14,13,down,False,,0.0,0.0,,,,0.0,0.0,6.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141125.2020535,test,1,3,系列1,,2,横,6.0,横,2,True,13,13,,False,,0.0,1.0,,,,0.0,0.0,6.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141130.2569253,test,1,4,系列1,,2,横,6.0,横,2,True,13,12,down,False,,0.0,0.0,,,,0.0,0.0,5.0,,,
左手,示指,左手-示指,"0.35, 0.5, 0.75, 1, 1.25, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 6, 8, 10, 12",1776141138.4184933,test,1,5,系列1,,1,縦,5.0,縦,1,True,12,12,,False,,0.0,1.0,,,,0.0,0.0,5.0,,,
